Ship To Address No,value
1850371.0,C
1265546.0,C
1912451.0,C
1510339.0,C
1254691.0,C
1255591.0,C
2258543.0,C
1265792.0,C
1255581.0,C
1255583.0,C
43824269.0,C
1254687.0,C
43824256.0,C
1254689.0,C
1995652.0,C
1995602.0,C
1995627.0,C
1833299.0,C
1254688.0,C
2075214.0,C
1254704.0,C
2246978.0,C
1254692.0,C
1254725.0,C
1476759.0,C
2075088.0,C
1255630.0,C
1464986.0,C
1951810.0,C
1254716.0,C
1254729.0,C
1509644.0,C
1254693.0,C
43824771.0,C
1254717.0,C
1254734.0,C
1930074.0,C
1417063.0,C
1255584.0,C
43824470.0,C
2075220.0,C
1254707.0,C
43823779.0,C
1255592.0,C
1832940.0,C
1967893.0,C
43823775.0,C
1254732.0,C
1255619.0,C
2203715.0,C
1464940.0,C
43824769.0,C
1264951.0,C
1325219.0,C
1254696.0,C
43823998.0,C
1352917.0,C
1255629.0,C
43824777.0,C
43824737.0,C
1254720.0,C
2229609.0,C
1255614.0,C
2203449.0,C
1255192.0,C
1967671.0,C
1254695.0,C
2073796.0,C
1254690.0,C
1779500.0,C
2060310.0,C
1254708.0,C
2168582.0,C
1544800.0,C
1408777.0,C
1255579.0,C
1477237.0,C
1254798.0,C
1255589.0,C
2269795.0,C
1254711.0,C
43824263.0,C
2252839.0,C
43823773.0,C
1642075.0,C
2269693.0,C
1254733.0,C
1254686.0,C
1255574.0,C
43824775.0,C
1551997.0,C
43824028.0,C
1254740.0,C
1665188.0,C
43824723.0,C
43825034.0,C
1487485.0,C
2203719.0,C
2053635.0,C
1254765.0,C
1842327.0,C
1664631.0,C
43824719.0,C
1255580.0,C
1254731.0,C
1353661.0,C
2075198.0,C
2133267.0,C
1803960.0,C
1604938.0,C
1255582.0,C
1255578.0,C
1255625.0,C
1633157.0,C
1825549.0,C
1254721.0,C
2269692.0,C
2169530.0,C
2191635.0,C
2247537.0,C
43824315.0,C
2169531.0,C
1912433.0,C
1254726.0,C
1255586.0,C
43824779.0,C
1912760.0,C
2017221.0,C
43824515.0,C
1255576.0,C
1967664.0,C
1254783.0,C
2264626.0,C
2269694.0,C
1339586.0,C
1623353.0,C
1929235.0,C
43823583.0,C
2258569.0,C
2209040.0,C
2100566.0,C
2246000.0,C
1751514.0,C
1912432.0,C
2168676.0,C
1431059.0,C
2247773.0,C
1254737.0,C
1254723.0,C
1255194.0,C
2247979.0,C
43824548.0,C
1347653.0,C
2168596.0,C
1889872.0,C
1265766.0,C
1838684.0,C
43824735.0,C
1255620.0,C
1318752.0,C
2075234.0,C
43823573.0,C
2060237.0,C
1255548.0,C
1254776.0,C
1255621.0,C
1739860.0,C
43825032.0,C
1255628.0,C
1540637.0,C
1254612.0,C
43824715.0,C
43823777.0,C
1673776.0,C
1255612.0,C
1356194.0,C
43824717.0,C
1735851.0,C
1402387.0,C
1369085.0,C
1921557.0,C
43824056.0,C
43824725.0,C
2269727.0,C
2208690.0,C
1551254.0,C
1779624.0,C
2229605.0,C
1967598.0,C
1751541.0,C
1953383.0,C
1264970.0,C
1795849.0,C
43823858.0,C
1497989.0,C
1797488.0,C
1254785.0,C
1930116.0,C
1384981.0,C
43823579.0,C
43824747.0,C
1254706.0,C
1276705.0,C
43824731.0,C
1431057.0,C
1929313.0,C
1255617.0,C
43824333.0,C
1381747.0,C
1544842.0,C
1850462.0,C
43824409.0,C
43824877.0,C
43824713.0,C
1255624.0,C
1255626.0,C
2169497.0,C
1254774.0,C
1673780.0,C
2252864.0,C
2073719.0,C
2060441.0,C
43824749.0,C
1656983.0,C
1889873.0,C
2251447.0,C
2252858.0,C
1889959.0,C
